MATNR,MTART,MATKL,MEINS,BRGEW,GEWEI,SPART,XCHPF,MHDHB,ZZ_TEMP_CLASS,MAKTX,WERKS,DISPO
000000000000100234,FERT,DRUGPROD,ST,0.085,KG,01,X,730,15-25C,AUGMENTIN 625MG FILM TABLET 14S,GB21,101
000000000000100235,FERT,DRUGPROD,st,0.092,KG,01,X,730,15-25C,AUGMENTIN 1G FILM TABLET 14S,GB21,101
000000000000100236,FERT,VACCINE,ST,0.045,KG,02,X,1095,2-8C,SHINGRIX SUSPENSION 1 DOSE VIAL,BE31,201
000000000000100237,FERT,VACCINE,ST,0.048,KG,02,X,,2-8C,BOOSTRIX SUSPENSION 0.5ML SYRINGE,BE31,201
000000000000100238,ROH,API,KG,1.000,KG,01,X,1825,15-25C,amoxicillin trihydrate api,GB21,301
000000000000100239,ROH,API,KG,1.000,KG,01,X,1825,15-25C,CLAVULANATE POTASSIUM API,GB21,301
000000000000100240,VERP,PACK,ST,0.002,KG,01,,,15-25C,CARTON AUGMENTIN 625MG 14S,GB21,401
000000000000100241,HALB,BULK,KG,1.000,KG,01,X,365,15-25C,AUGMENTIN BULK GRANULATE,GB21,301
000000000000100242,FERT,DRUGPROD,ST,0.120,KG,01,X,730,15-25C,VENTOLIN EVOHALER 100MCG 200D,GB22,101
000000000000100243,FERT,DRUGPROD,ST,,KG,01,X,730,15-25C,SERETIDE ACCUHALER 50/500 60D,GB22,101
000000000000100244,FERT,VACCINE,ST,0.030,KG,02,X,730,-70C,RSV VACCINE INVESTIGATIONAL VIAL,BE31,201
000000000000100245,ROH,EXCIP,KG,1.000,KG,01,,730,15-25C,MICROCRYSTALLINE CELLULOSE PH102,GB21,301
000000000000100246,FERT,DRUGPROD,TO,2.500,KG,01,X,545,15-25C,ZOVIRAX CREAM 5% 10G TUBE,IE41,101
000000000000100247,FERT,CONSUMER,ST,0.150,KG,03,,365,15-25C,SENSODYNE REPAIR PROTECT 75ML,GB23,501
000000000000100248,FERT,CONSUMER,ST,0.150,KG,03,,365,15-25C,SENSODYNE REPAIR PROTECT 75ML,GB23,501
000000000000100249,ROH,API,KG,1.000,KG,01,X,1825,15-25C,SALBUTAMOL SULPHATE API,GB22,301
000000000000100250,FERT,VACCINE,ST,0.052,KG,02,X,1095,2-8C,CERVARIX SUSPENSION 0.5ML VIAL,BE31,201
000000000000100251,HALB,BULK,KG,1.000,,01,X,180,2-8C,SHINGRIX ANTIGEN BULK,BE31,301
000000000000100252,FERT,DRUGPROD,ST,0.075,KG,01,X,730,15-25C,TRELEGY ELLIPTA 92/55/22 30D,GB22,101
000000000000100253,FERT,DRUGPROD,ST,0.075,KG,01,X,730,15-25C,ZEJULA 100MG CAPSULE 56S,IE41,101
