BUKRS,BELNR,GJAHR,BUZEI,BLART,HKONT,PARTNER,PARTNER_TYPE,SHKZG,DMBTR,WAERS,BUDAT,ZFBDT
GB01,1900004521,2026,001,RV,140000,0000210045,C,S,1284500.00,GBP,20260615,20260715
GB01,1900004521,2026,002,RV,800000,,,H,1284500.00,GBP,20260615,
GB01,1900004522,2026,001,RV,140000,0000210046,C,S,842300.50,GBP,20260618,20260718
GB01,1900004522,2026,002,RV,800000,,,H,842300.50,GBP,20260618,
GB01,1900004523,2026,001,KR,210000,0000510012,V,H,455000.00,GBP,20260620,20260720
GB01,1900004523,2026,002,KR,400000,,,S,455000.00,GBP,20260620,
GB01,1900004524,2026,001,RV,140000,0000210047,C,S,318750.25,GBP,20260622,20260722
GB01,1900004524,2026,002,RV,800000,,,H,318750.25,GBP,20260622,
BE01,2900001188,2026,001,RV,140000,0000210050,C,S,2940000.00,EUR,20260610,20260710
BE01,2900001188,2026,002,RV,800000,,,H,2940000.00,EUR,20260610,
BE01,2900001189,2026,001,KR,210000,0000510015,V,H,187600.00,EUR,20260612,20260712
BE01,2900001189,2026,002,KR,400000,,,S,187600.00,EUR,20260612,
BE01,2900001190,2026,001,RV,140000,0000210054,C,S,96400.00,EUR,20260614,20260714
BE01,2900001190,2026,002,RV,800000,,,H,96400.00,EUR,20260614,
US01,3900002045,2026,001,RV,140000,0000210052,C,S,5120000.00,USD,20260601,20260701
US01,3900002045,2026,002,RV,800000,,,H,5120000.00,USD,20260601,
US01,3900002046,2026,001,RV,140000,0000210051,C,S,1875000.00,USD,20260605,20260705
US01,3900002046,2026,002,RV,800000,,,H,1875000.00,USD,20260605,
IE01,4900000771,2026,001,KR,210000,0000510014,V,H,612000.00,EUR,20260609,20260709
IE01,4900000771,2026,002,KR,400000,,,S,612000.00,EUR,20260609,
IE01,4900000772,2026,001,RV,140000,0000210059,C,S,733000.00,EUR,20260611,20260711
IE01,4900000772,2026,002,RV,800000,,,H,733000.10,EUR,20260611,
DE01,5900003310,2026,001,RV,140000,0000210048,C,S,1442000.00,EUR,20260616,20260716
DE01,5900003310,2026,002,RV,800000,,,H,1442000.00,EUR,20260616,
DE01,5900003311,2026,001,RV,140000,0000210099,C,S,55000.00,EUR,20260617,20260717
DE01,5900003311,2026,002,RV,800000,,,H,55000.00,EUR,20260617,
