WERKS,LGORT,MATNR,CHARG,CLABS,CINSM,CSPEM,MEINS,VFDAT,HSDAT,ZUSTD
GB21,0001,000000000000100234,B2500112,148000.000,0.000,0.000,ST,20280331,20260331,F
GB21,0001,000000000000100234,B2500118,96000.000,12000.000,0.000,ST,20280430,20260430,F
GB21,0002,000000000000100235,B2500121,54000.000,0.000,3000.000,ST,20280531,20260531,S
GB21,0001,000000000000100238,A2500044,4200.000,800.000,0.000,KG,20310215,20260215,F
GB21,0001,000000000000100239,A2500051,1150.000,0.000,0.000,KG,20310320,20260320,F
GB21,0003,000000000000100241,H2500077,880.500,120.000,0.000,KG,20270415,20260415,F
BE31,0001,000000000000100236,V2500201,412000.000,0.000,0.000,ST,20290228,20260228,F
BE31,0001,000000000000100236,V2500209,388000.000,42000.000,0.000,ST,20290331,20260331,S
BE31,0001,000000000000100237,V2500215,255000.000,0.000,11000.000,ST,20280630,20260630,F
BE31,0004,000000000000100244,V2500221,18000.000,18000.000,0.000,ST,20280731,20260731,S
BE31,0001,000000000000100250,V2500230,144000.000,0.000,0.000,ST,20290430,20260430,F
BE31,0003,000000000000100251,H2500301,2400.000,600.000,0.000,KG,20270115,20260715,S
GB22,0001,000000000000100242,B2500330,72000.000,0.000,0.000,ST,20280930,20260930,F
GB22,0001,000000000000100243,B2500341,51000.000,9000.000,0.000,ST,20281031,20261031,F
GB22,0001,000000000000100249,A2500360,960.000,0.000,0.000,KG,20310510,20260510,F
IE41,0001,000000000000100246,B2500401,124000.000,0.000,0.000,ST,20280228,20260228,F
IE41,0001,000000000000100253,B2500412,33000.000,0.000,2000.000,ST,20281130,20261130,F
GB23,0001,000000000000100247,C2500501,890000.000,0.000,0.000,ST,20270630,20260630,F
GB21,0001,000000000000100240,P2500601,1450000.000,0.000,0.000,ST,,20260101,F
GB21,0001,000000000000100999,B2500777,5000.000,0.000,0.000,ST,20280131,20260131,F
