KUNNR,NAME1,LAND1,ORT01,PSTLZ,STRAS,BUKRS,AKONT,ZTERM,STCEG,KTOKD,ZZ_COLD_CHAIN,ZZ_LICENCE_VALID
0000210045,NHS SUPPLY CHAIN,GB,ALFRETON,DE55 4QJ,COTES PARK LANE,GB01,140000,ZB30,GB123456789,0001,X,X
0000210046,ALLIANCE HEALTHCARE UK,GB,CHESSINGTON,KT9 2NY,2 THE HEIGHTS,GB01,140000,ZB30,GB234567890,0001,X,X
0000210047,AAH PHARMACEUTICALS,gb,COVENTRY,CV3 4PE,SAPPHIRE COURT,GB01,140000,ZB30,GB345678901,0001,X,X
0000210048,MCKESSON EUROPE AG,DE,STUTTGART,70372,NECKARTALSTRASSE 155,DE01,140000,ZB45,DE811193231,0001,X,
0000210049,CENTRAL MEDICAL STORES TANZANIA,TZ,DAR ES SALAAM,,NYERERE ROAD,KE01,140000,ZB60,,0001,,
0000210050,UNICEF SUPPLY DIVISION,DK,COPENHAGEN,2100,OCEANVEJ 10-12,BE01,140000,ZB00,,0002,X,X
0000210051,PAHO REVOLVING FUND,US,WASHINGTON,20037,525 23RD ST NW,US01,140000,ZB00,,0002,X,X
0000210052,CARDINAL HEALTH INC,US,DUBLIN,43017,7000 CARDINAL PL,US01,140000,ZB30,,0001,X,X
0000210053,ZUELLIG PHARMA SINGAPORE,SG,SINGAPORE,629117,15 CHANGI NORTH WAY,SG01,140000,ZB30,,0001,X,X
0000210054,HOSPITAL PHARMACY BRUSSELS,BE,BRUSSELS,1070,ROUTE DE LENNIK 808,BE01,140000,ZB14,BE0403227515,0001,X,X
0000210055,PHOENIX PHARMAHANDEL,DE,MANNHEIM,68199,PFINGSTWEIDSTRASSE 10,DE01,140000,ZB45,DE143987654,0001,,X
0000210056,GRUPO FARMACEUTICO MEXICO,MX,MEXICO CITY,11000,PASEO DE LA REFORMA 505,MX01,140000,ZB60,,0001,,
0000210057,SINOPHARM GROUP CO,CN,SHANGHAI,200011,221 FUZHOU ROAD,CN01,140000,ZB60,,0001,X,
0000210058,ALLIANCE HEALTHCARE UK,GB,CHESSINGTON,KT9 2NY,2 THE HEIGHTS,GB01,140000,ZB30,GB234567890,0001,X,X
0000210059,GSK IRELAND MANUFACTURING,IE,CORK,T45 XY12,CURRABINNY,IE01,140100,ZB00,IE6388047V,0003,X,X
0000210060,DISTRIBUIDORA NACIONAL SA,XX,BOGOTA,110111,CALLE 100 NO 8-60,CO01,140000,ZB60,,0001,,
