LIFNR,NAME1,LAND1,ORT01,PSTLZ,STRAS,BUKRS,AKONT,ZTERM,STCEG,KTOKK,ZZ_GMP_AUDITED
0000510012,LONZA AG,CH,BASEL,4052,MUENCHENSTEINERSTRASSE 38,GB01,210000,ZP30,CHE105830950,0001,X
0000510013,THERMO FISHER SCIENTIFIC,US,WALTHAM,02451,168 THIRD AVENUE,GB01,210000,ZP30,,0001,X
0000510014,CATALENT PHARMA SOLUTIONS,US,SOMERSET,08873,14 SCHOOLHOUSE ROAD,IE01,210000,ZP45,,0001,X
0000510015,SARTORIUS STEDIM BIOTECH,DE,GOETTINGEN,37079,AUGUST-SPINDLER-STR 11,BE01,210000,ZP30,DE114581354,0001,X
0000510016,AMCOR FLEXIBLES,GB,BRISTOL,BS10 7TQ,CRIBBS CAUSEWAY,GB01,210000,ZP60,GB456789012,0002,
0000510017,GSK IRELAND MANUFACTURING,IE,CORK,T45 XY12,CURRABINNY,IE01,210100,ZP00,IE6388047V,0003,X
0000510018,DHL SUPPLY CHAIN,GB,MILTON KEYNES,MK9 1EN,SILBURY BOULEVARD,GB01,210000,ZP30,GB567890123,0004,
0000510019,SGS LIFE SCIENCES,BE,WAVRE,1300,BERKENLAAN 8B,BE01,210000,ZP30,BE0404882750,0001,X
0000510020,LONZA AG,CH,BASEL,4052,MUENCHENSTEINERSTRASSE 38,BE01,210000,ZP30,CHE105830950,0001,X
0000510021,SIEGFRIED HOLDING,CH,ZOFINGEN,4800,UNTERE BRUEHLSTRASSE 4,GB01,210000,ZP45,,0001,X
0000510022,WEST PHARMACEUTICAL SERVICES,US,EXTON,19341,530 HERMAN O WEST DR,BE01,210000,ZP30,,0001,X
0000510023,UNKNOWN SUPPLIER,,,,,GB01,210000,,,0001,
0000510024,SCHOTT PHARMA AG,DE,MAINZ,55122,HATTENBERGSTRASSE 10,BE01,210000,ZP30,DE811944216,0001,X
0000510025,LOFTWARE INC,US,PORTSMOUTH,03801,249 CORPORATE DRIVE,GB01,210000,ZP30,,0005,
