WERKS,LGORT,MATNR,CHARG,CLABS,CINSM,CSPEM,MEINS,VFDAT,HSDAT,ZUSTD
BE32,0001,000000000000700301,AB2600041,4200.000,0.000,0.000,KG,20260930,20260401,F
BE32,0001,000000000000700301,AB2600042,3850.000,650.000,0.000,KG,20261031,20260430,F
BE32,0002,000000000000700302,SH2600118,742000.000,0.000,0.000,ST,20290331,20260331,F
BE32,0002,000000000000700302,SH2600119,388000.000,44000.000,0.000,ST,20290430,20260430,F
BE32,0002,000000000000700303,CV2600067,215000.000,0.000,12000.000,ST,20290228,20260228,F
BE33,0001,000000000000700304,IN2600009,1180.000,0.000,0.000,KG,20270131,20260415,F
BE32,0002,000000000000700305,RT2600052,96000.000,0.000,0.000,ST,20280630,20260615,F
BE32,0002,000000000000700306,MN2600031,54000.000,0.000,0.000,ST,20290131,20260120,F
BE33,0001,000000000000700307,AS2600014,620.000,80.000,0.000,KG,20270331,20260331,F
BE33,0001,000000000000700310,RS2600003,18000.000,0.000,0.000,ST,20280131,20260131,F
BE32,0002,000000000000700309,PK2600021,240000.000,0.000,0.000,ST,,20260210,F
