MATNR,MTART,MATKL,MEINS,BRGEW,GEWEI,SPART,XCHPF,MHDHB,ZZ_TEMP_CLASS,MAKTX,WERKS,DISPO
000000000000700301,HALB,BULK,KG,1.000,KG,02,X,180,2-8C,SHINGRIX ANTIGEN BULK,BE32,301
000000000000700302,FERT,VACCINE,ST,0.045,KG,02,X,1095,2-8C,SHINGRIX SUSPENSION 1 DOSE VIAL,BE32,201
000000000000700303,FERT,VACCINE,ST,0.052,KG,02,X,1095,2-8C,CERVARIX SUSPENSION 0.5ML VIAL,BE32,201
000000000000700304,HALB,BULK,kg,1.000,KG,02,X,270,-70C,INFLUENZA ANTIGEN BULK H1N1,BE33,301
000000000000700305,FERT,VACCINE,ST,0.018,KG,02,X,730,2-8C,ROTARIX ORAL SUSPENSION 1.5ML,BE32,201
000000000000700306,FERT,VACCINE,ST,0.041,KG,02,X,1095,2-8C,MENVEO CONJUGATE VIAL 0.5ML,BE32,201
000000000000700307,HALB,ADJUVANT,KG,1.000,KG,02,X,365,-70C,ADJUVANT AS01B BULK,BE33,301
000000000000700308,ROH,API,KG,1.000,KG,02,X,,2-8C,DIPHTHERIA TOXOID CONCENTRATE,BE33,301
000000000000700309,VERP,PACK,ST,0.003,KG,02,,,2-8C,CARTON SHINGRIX 1 DOSE,BE32,401
000000000000700310,FERT,VACCINE,ST,0.030,KG,02,X,730,-70C,RSV VACCINE INVESTIGATIONAL VIAL,BE33,201
000000000000100249,HALB,ADJUVANT,KG,1.000,KG,02,X,1095,15-25C,ALUMINIUM HYDROXIDE ADJUVANT WAVRE,BE33,301
