BUKRS,BELNR,GJAHR,BUZEI,BLART,HKONT,PARTNER,PARTNER_TYPE,SHKZG,DMBTR,WAERS,BUDAT,ZFBDT
BE02,1900008801,2026,001,RV,140000,0000210112,C,S,2450000.00,EUR,20260610,20260810
BE02,1900008801,2026,002,RV,800000,,,H,2450000.00,EUR,20260610,
BE02,1900008802,2026,001,RV,140000,0000210113,C,S,1180000.00,EUR,20260618,20260818
BE02,1900008802,2026,002,RV,800000,,,H,1180000.00,EUR,20260618,
BE02,1900008803,2026,001,RV,140000,0000210114,C,S,3620000.00,EUR,20260622,20260722
BE02,1900008803,2026,002,RV,800000,,,H,3620000.00,EUR,20260622,
BE02,1900008804,2026,001,RV,140000,0000210116,C,S,486000.00,EUR,20260605,
BE02,1900008804,2026,002,RV,800000,,,H,486000.00,EUR,20260605,
BE02,5100009901,2026,001,KR,210000,0000510032,V,H,890000.00,EUR,20260601,20260731
BE02,5100009901,2026,002,KR,400000,,,S,890000.00,EUR,20260601,
BE02,5100009902,2026,001,KR,210000,0000510031,V,H,142000.00,EUR,20260612,20260712
BE02,5100009902,2026,002,KR,400000,,,S,142000.00,EUR,20260612,
BE02,1900008805,2026,001,RV,140000,0000210115,C,S,505000.00,EUR,20260628,20260828
BE02,1900008805,2026,002,RV,800000,,,H,450000.00,EUR,20260628,
BE02,1900008806,2026,001,RV,140000,0000210045,C,S,268000.00,EUR,20260630,20260830
BE02,1900008806,2026,002,RV,800000,,,H,268000.00,EUR,20260630,
