object_name,source_system,object_type,path,module,owner,gxp_class,wave,monthly_executions,business_criticality,validation_package,convergence_group,disposition,remediated_path
ZGSK_MM_STOCK_OVERVIEW,GEP,PROG,abap/ecc/gep/mm/zgsk_mm_stock_overview.prog.abap,MM,GSC Supply Chain IT,gxp_relevant,wave0,14200,high,GSC-STK-001,CG-MM-STOCK,converge,abap/remediated/zgsk_mm_stock_overview.prog.abap
ZBIO_MM_STOCK_REPORT,GVP,PROG,abap/ecc/gvp/mm/zbio_mm_stock_report.prog.abap,MM,Vaccines Supply Chain IT,gxp_relevant,wave0,3100,high,BIO-STK-004,CG-MM-STOCK,converge,
ZGSK_MM_BATCH_MOVEMENTS,GEP,PROG,abap/ecc/gep/mm/zgsk_mm_batch_movements.prog.abap,MM,GSC Manufacturing IT,gxp_critical,wave0,8600,critical,GMP-BRE-007,CG-MM-BATCHGEN,converge,abap/remediated/zgsk_mm_batch_movements.prog.abap
ZBIO_MM_BATCH_GENEALOGY,GVP,PROG,abap/ecc/gvp/mm/zbio_mm_batch_genealogy.prog.abap,MM,Vaccines Manufacturing IT,gxp_critical,wave0,5300,critical,BIO-BRE-002,CG-MM-BATCHGEN,converge,
ZGSK_QM_BATCH_RELEASE,GEP,PROG,abap/ecc/gep/qm/zgsk_qm_batch_release.prog.abap,QM,Global Quality IT,gxp_critical,wave0,4100,critical,QMS-014,CG-QM-RELEASE,converge,
ZBIO_QM_LOT_RELEASE,GVP,PROG,abap/ecc/gvp/qm/zbio_qm_lot_release.prog.abap,QM,Vaccines Quality IT,gxp_critical,wave0,2700,critical,BIO-QMS-002,CG-QM-RELEASE,converge,
ZGSK_MD_CUSTOMER_SYNC,GEP,PROG,abap/ecc/gep/md/zgsk_md_customer_sync.prog.abap,MDM,Enterprise Data & Analytics,gxp_relevant,wave0,930,critical,MDM-CVI-002,CG-MD-PARTNER,converge,
ZBIO_MD_PARTNER_SYNC,GVP,PROG,abap/ecc/gvp/md/zbio_md_partner_sync.prog.abap,MDM,Vaccines Commercial Data,gxp_relevant,wave0,480,critical,BIO-MDM-001,CG-MD-PARTNER,converge,
ZGSK_IF_LABEL_PRINT,GEP,FUGR,abap/ecc/gep/if/zgsk_if_label_print.fugr.abap,SD,GSC Manufacturing IT,gxp_critical,wave0,268000,critical,LBL-ANX11-001,CG-IF-LABEL,converge,
ZBIO_IF_LABEL_PRINT,GVP,FUGR,abap/ecc/gvp/if/zbio_if_label_print.fugr.abap,PP,Vaccines Manufacturing IT,gxp_critical,wave0,96000,critical,BIO-LBL-001,CG-IF-LABEL,converge,
ZGSK_FI_AP_AGEING,GEP,PROG,abap/ecc/gep/fi/zgsk_fi_ap_ageing.prog.abap,FI,Global Financial Services,non_gxp,wave1,1800,medium,N/A,CG-FI-APAGE,converge,
ZBIO_FI_AP_AGEING,GVP,PROG,abap/ecc/gvp/fi/zbio_fi_ap_ageing.prog.abap,FI,Vaccines Finance Systems,non_gxp,wave1,640,medium,N/A,CG-FI-APAGE,converge,
ZGSK_IF_ICT_ANTIGEN_IN,GEP,PROG,abap/ecc/gep/if/zgsk_if_ict_antigen_in.prog.abap,MM,Global Financial Services,gxp_relevant,wave0,2200,high,ICT-GR-001,CG-IF-ICT,decommission,
ZBIO_IF_ICT_ANTIGEN_OUT,GVP,PROG,abap/ecc/gvp/if/zbio_if_ict_antigen_out.prog.abap,SD,Vaccines Finance Systems,gxp_relevant,wave0,2200,high,BIO-ICT-001,CG-IF-ICT,decommission,
ZGSK_MM_ARIBA_PO_SYNC,GEP,PROG,abap/ecc/gep/mm/zgsk_mm_ariba_po_sync.prog.abap,MM,Global Procurement IT,non_gxp,wave1,31000,high,N/A,,retain,
ZGSK_MM_SERIALISATION_RECON,GEP,PROG,abap/ecc/gep/mm/zgsk_mm_serialisation_recon.prog.abap,MM,GSC Serialisation Programme,gxp_critical,wave0,2400,critical,SER-FMD-003,,retain,
ZGSK_FI_ICT_MARGIN,GEP,PROG,abap/ecc/gep/fi/zgsk_fi_ict_margin.prog.abap,FI,Global Financial Services,non_gxp,wave0,320,critical,N/A,,retain,
ZGSK_SD_ORDER_VARIANTS,GEP,PROG,abap/ecc/gep/sd/zgsk_sd_order_variants.prog.abap,SD,Commercial IT,non_gxp,wave1,140,medium,N/A,,retain,
ZGSK_SD_CREDIT_CHECK,GEP,PROG,abap/ecc/gep/sd/zgsk_sd_credit_check.prog.abap,SD,Commercial IT,non_gxp,wave1,5200,high,N/A,,retain,
ZGSK_PP_MRP_EXCEPTIONS,GEP,PROG,abap/ecc/gep/pp/zgsk_pp_mrp_exceptions.prog.abap,PP,GSC Planning IT,non_gxp,wave1,6700,medium,N/A,,retain,
ZGSK_CO_PRODUCT_COST,GEP,PROG,abap/ecc/gep/co/zgsk_co_product_cost.prog.abap,CO,Global Financial Services,non_gxp,wave2,410,medium,N/A,,retain,
ZGSK_IF_MES_CONFIRMATION,GEP,PROG,abap/ecc/gep/if/zgsk_if_mes_confirmation.prog.abap,PP,GSC Manufacturing IT,gxp_critical,wave0,54000,critical,GMP-BRE-011,,retain,
ZGSK_COMMON_UTILS,GEP,INCL,abap/ecc/gep/common/zgsk_common_utils.incl.abap,BASIS,ERP Competency Centre,gxp_relevant,wave0,0,high,N/A,,retain,
