rule_id,action,object,key,field,message
DQ-VEN-006,warn,vendors,GEP/0000510016,ZZ_GMP_AUDITED,"supplier has no GMP audit flag, confirm before cutover"
DQ-VEN-006,warn,vendors,GEP/0000510018,ZZ_GMP_AUDITED,"supplier has no GMP audit flag, confirm before cutover"
DQ-VEN-002,reject,vendors,GEP/0000510023,NAME1,"name or country missing, cannot create a business partner"
DQ-VEN-004,warn,vendors,GEP/0000510023,PSTLZ,"postal code missing, address will not be validated"
DQ-VEN-006,warn,vendors,GEP/0000510023,ZZ_GMP_AUDITED,"supplier has no GMP audit flag, confirm before cutover"
DQ-VEN-006,warn,vendors,GEP/0000510025,ZZ_GMP_AUDITED,"supplier has no GMP audit flag, confirm before cutover"
DQ-VEN-005,warn,vendors,GVP/0000510034,STCEG,VAT registration missing for an EU/UK partner
DQ-VEN-006,warn,vendors,GVP/0000510034,ZZ_GMP_AUDITED,"supplier has no GMP audit flag, confirm before cutover"
DQ-VEN-007,warn,vendors,"GEP/0000510012, GEP/0000510020, GVP/0000510032",NAME1,records merge into one business partner across both source systems: LONZA AG
DQ-VEN-007,warn,vendors,"GEP/0000510019, GVP/0000510031",NAME1,records merge into one business partner across both source systems: SGS LIFE SCIENCES
DQ-VEN-007,warn,vendors,"GEP/0000510024, GVP/0000510033",NAME1,records merge into one business partner across both source systems: SCHOTT PHARMA AG
DQ-VEN-008,warn,vendors,"GEP/0000510012, GVP/0000510012",LIFNR,number 510012 exists in both source systems as different entities (BIOQUELL UK LTD / LONZA AG); it must not be reused as the business partner number
