WERKS,LGORT,MATNR,CHARG,CLABS,CINSM,CSPEM,MEINS,VFDAT,HSDAT,ZUSTD,SOURCE_SYSTEM
BE31,0001,000000000000100237,V2500215,255000.000,0.000,11000.000,ST,20280630,20260630,F,GEP
BE31,0003,000000000000100251,H2500301,2400.000,600.000,0.000,KG,20270115,20260715,S,GEP
GB22,0001,000000000000100249,A2500360,960.000,0.000,0.000,KG,20310510,20260510,F,GEP
IE41,0001,000000000000100246,B2500401,124000.000,0.000,0.000,ST,20280228,20260228,F,GEP
GB23,0001,000000000000100247,C2500501,890000.000,0.000,0.000,ST,20270630,20260630,F,GEP
GB21,0001,000000000000100240,P2500601,1450000.000,0.000,0.000,ST,,20260101,F,GEP
GB21,0001,000000000000100999,B2500777,5000.000,0.000,0.000,ST,20280131,20260131,F,GEP
BE32,0001,000000000000700301,AB2600041,4200.000,0.000,0.000,KG,20260930,20260401,F,GVP
BE32,0001,000000000000700301,AB2600042,3850.000,650.000,0.000,KG,20261031,20260430,F,GVP
BE32,0002,000000000000700309,PK2600021,240000.000,0.000,0.000,ST,,20260210,F,GVP
BE33,0001,000000000000100249,AH2600017,4200.000,0.000,0.000,KG,20290331,20260331,F,GVP
