BusinessPartner,BusinessPartnerGrouping,BusinessPartnerName,Country,CityName,PostalCode,StreetName,VATRegistration,BusinessPartnerRoles,CompanyCodes,SourceSystems,SourceCustomers,SourceVendors
1000000,BPGS,NHS SUPPLY CHAIN,GB,ALFRETON,DE55 4QJ,COTES PARK LANE,GB123456789,FLCU00;FLCU01,GB01,GEP,GEP/0000210045,
1000001,BPGS,ALLIANCE HEALTHCARE UK,GB,CHESSINGTON,KT9 2NY,2 THE HEIGHTS,GB234567890,FLCU00;FLCU01,GB01,GEP,GEP/0000210046;GEP/0000210058,
1000002,BPGS,AAH PHARMACEUTICALS,GB,COVENTRY,CV3 4PE,SAPPHIRE COURT,GB345678901,FLCU00;FLCU01,GB01,GEP,GEP/0000210047,
1000003,BPGS,MCKESSON EUROPE AG,DE,STUTTGART,70372,NECKARTALSTRASSE 155,DE811193231,FLCU00;FLCU01,DE01,GEP,GEP/0000210048,
1000004,BPGS,CENTRAL MEDICAL STORES TANZANIA,TZ,DAR ES SALAAM,,NYERERE ROAD,,FLCU00;FLCU01,BE02;KE01,GEP;GVP,GEP/0000210049;GVP/0000210116,
1000005,BPGS,UNICEF SUPPLY DIVISION,DK,COPENHAGEN,2100,OCEANVEJ 10-12,,FLCU00;FLCU01,BE01;BE02,GEP;GVP,GEP/0000210050;GVP/0000210112,
1000006,BPGS,PAHO REVOLVING FUND,US,WASHINGTON,20037,525 23RD ST NW,,FLCU00;FLCU01,BE02;US01,GEP;GVP,GEP/0000210051;GVP/0000210113,
1000007,BPGS,CARDINAL HEALTH INC,US,DUBLIN,43017,7000 CARDINAL PL,,FLCU00;FLCU01,US01,GEP,GEP/0000210052,
1000008,BPGS,ZUELLIG PHARMA SINGAPORE,SG,SINGAPORE,629117,15 CHANGI NORTH WAY,,FLCU00;FLCU01,BE02;SG01,GEP;GVP,GEP/0000210053;GVP/0000210117,
1000009,BPGS,HOSPITAL PHARMACY BRUSSELS,BE,BRUSSELS,1070,ROUTE DE LENNIK 808,BE0403227515,FLCU00;FLCU01,BE01,GEP,GEP/0000210054,
