SourceSystem,SourceType,SourceId,BusinessPartner
GEP,KNA1,0000210045,1000000
GEP,KNA1,0000210046,1000001
GEP,KNA1,0000210047,1000002
GEP,KNA1,0000210048,1000003
GEP,KNA1,0000210049,1000004
GEP,KNA1,0000210050,1000005
GEP,KNA1,0000210051,1000006
GEP,KNA1,0000210052,1000007
GEP,KNA1,0000210053,1000008
GEP,KNA1,0000210054,1000009
GEP,KNA1,0000210055,1000010
GEP,KNA1,0000210056,1000011
GEP,KNA1,0000210057,1000012
GEP,KNA1,0000210058,1000001
GEP,KNA1,0000210059,1000013
GEP,LFA1,0000510012,1000018
GEP,LFA1,0000510013,1000019
GEP,LFA1,0000510014,1000020
GEP,LFA1,0000510015,1000021
GEP,LFA1,0000510016,1000022
GEP,LFA1,0000510017,1000013
GEP,LFA1,0000510018,1000023
GEP,LFA1,0000510019,1000024
GEP,LFA1,0000510020,1000018
GEP,LFA1,0000510021,1000025
GEP,LFA1,0000510022,1000026
GEP,LFA1,0000510024,1000027
GEP,LFA1,0000510025,1000028
GVP,KNA1,0000210045,1000014
GVP,KNA1,0000210112,1000005
GVP,KNA1,0000210113,1000006
GVP,KNA1,0000210114,1000015
GVP,KNA1,0000210115,1000016
GVP,KNA1,0000210116,1000004
GVP,KNA1,0000210117,1000008
GVP,KNA1,0000210118,1000017
GVP,LFA1,0000510012,1000029
GVP,LFA1,0000510031,1000024
GVP,LFA1,0000510032,1000018
GVP,LFA1,0000510033,1000027
GVP,LFA1,0000510034,1000030
GVP,LFA1,0000510035,1000031
GVP,LFA1,0000510036,1000032
