SourceSystem,CompanyCode,AccountingDocument,FiscalYear,AccountingDocumentItem,AccountingDocumentType,GLAccount,BusinessPartner,SourcePartner,SourcePartnerType,DebitCreditCode,AmountInCompanyCodeCurrency,CompanyCodeCurrency,PostingDate,NetDueDate
GEP,GB01,1900004521,2026,001,RV,140000,1000000,0000210045,C,S,1284500.00,GBP,20260615,20260715
GEP,GB01,1900004521,2026,002,RV,800000,,,,H,1284500.00,GBP,20260615,
GEP,GB01,1900004522,2026,001,RV,140000,1000001,0000210046,C,S,842300.50,GBP,20260618,20260718
GEP,GB01,1900004522,2026,002,RV,800000,,,,H,842300.50,GBP,20260618,
GEP,GB01,1900004523,2026,001,KR,210000,1000018,0000510012,V,H,455000.00,GBP,20260620,20260720
GEP,GB01,1900004523,2026,002,KR,400000,,,,S,455000.00,GBP,20260620,
GEP,GB01,1900004524,2026,001,RV,140000,1000002,0000210047,C,S,318750.25,GBP,20260622,20260722
GEP,GB01,1900004524,2026,002,RV,800000,,,,H,318750.25,GBP,20260622,
GEP,BE01,2900001188,2026,001,RV,140000,1000005,0000210050,C,S,2940000.00,EUR,20260610,20260710
GEP,BE01,2900001188,2026,002,RV,800000,,,,H,2940000.00,EUR,20260610,
GEP,BE01,2900001189,2026,001,KR,210000,1000021,0000510015,V,H,187600.00,EUR,20260612,20260712
GEP,BE01,2900001189,2026,002,KR,400000,,,,S,187600.00,EUR,20260612,
GEP,BE01,2900001190,2026,001,RV,140000,1000009,0000210054,C,S,96400.00,EUR,20260614,20260714
GEP,BE01,2900001190,2026,002,RV,800000,,,,H,96400.00,EUR,20260614,
GEP,US01,3900002045,2026,001,RV,140000,1000007,0000210052,C,S,5120000.00,USD,20260601,20260701
GEP,US01,3900002045,2026,002,RV,800000,,,,H,5120000.00,USD,20260601,
GEP,US01,3900002046,2026,001,RV,140000,1000006,0000210051,C,S,1875000.00,USD,20260605,20260705
GEP,US01,3900002046,2026,002,RV,800000,,,,H,1875000.00,USD,20260605,
GEP,IE01,4900000771,2026,001,KR,210000,1000020,0000510014,V,H,612000.00,EUR,20260609,20260709
GEP,IE01,4900000771,2026,002,KR,400000,,,,S,612000.00,EUR,20260609,
GEP,DE01,5900003310,2026,001,RV,140000,1000003,0000210048,C,S,1442000.00,EUR,20260616,20260716
GEP,DE01,5900003310,2026,002,RV,800000,,,,H,1442000.00,EUR,20260616,
GVP,BE02,1900008801,2026,001,RV,140000,1000005,0000210112,C,S,2450000.00,EUR,20260610,20260810
GVP,BE02,1900008801,2026,002,RV,800000,,,,H,2450000.00,EUR,20260610,
GVP,BE02,1900008802,2026,001,RV,140000,1000006,0000210113,C,S,1180000.00,EUR,20260618,20260818
GVP,BE02,1900008802,2026,002,RV,800000,,,,H,1180000.00,EUR,20260618,
GVP,BE02,1900008803,2026,001,RV,140000,1000015,0000210114,C,S,3620000.00,EUR,20260622,20260722
GVP,BE02,1900008803,2026,002,RV,800000,,,,H,3620000.00,EUR,20260622,
GVP,BE02,1900008804,2026,001,RV,140000,1000004,0000210116,C,S,486000.00,EUR,20260605,
GVP,BE02,1900008804,2026,002,RV,800000,,,,H,486000.00,EUR,20260605,
GVP,BE02,5100009901,2026,001,KR,210000,1000018,0000510032,V,H,890000.00,EUR,20260601,20260731
GVP,BE02,5100009901,2026,002,KR,400000,,,,S,890000.00,EUR,20260601,
GVP,BE02,5100009902,2026,001,KR,210000,1000024,0000510031,V,H,142000.00,EUR,20260612,20260712
GVP,BE02,5100009902,2026,002,KR,400000,,,,S,142000.00,EUR,20260612,
GVP,BE02,1900008806,2026,001,RV,140000,1000014,0000210045,C,S,268000.00,EUR,20260630,20260830
GVP,BE02,1900008806,2026,002,RV,800000,,,,H,268000.00,EUR,20260630,
