SourceSystem,SourceMaterial,Product
GEP,000000000000100234,100234
GEP,000000000000100235,100235
GEP,000000000000100236,100236
GEP,000000000000100238,100238
GEP,000000000000100239,100239
GEP,000000000000100240,100240
GEP,000000000000100241,100241
GEP,000000000000100242,100242
GEP,000000000000100243,100243
GEP,000000000000100244,100244
GEP,000000000000100245,100245
GEP,000000000000100246,100246
GEP,000000000000100247,100247
GEP,000000000000100248,100248
GEP,000000000000100249,100249
GEP,000000000000100250,100250
GEP,000000000000100252,100252
GEP,000000000000100253,100253
GVP,000000000000700302,100236
GVP,000000000000700303,100250
GVP,000000000000700304,700304
GVP,000000000000700305,700305
GVP,000000000000700306,700306
GVP,000000000000700307,700307
GVP,000000000000700309,700309
GVP,000000000000700310,100244
