SourceSystem,Product,Plant,StorageLocation,Batch,UnrestrictedQuantity,QualityInspectionQuantity,BlockedQuantity,BaseUnit,ShelfLifeExpirationDate,ManufactureDate,BatchStatus,StorageConditionClass
GEP,100234,GB21,0001,B2500112,148000.000,0.000,0.000,PCE,20280331,20260331,F,15-25C
GEP,100234,GB21,0001,B2500118,96000.000,12000.000,0.000,PCE,20280430,20260430,F,15-25C
GEP,100235,GB21,0002,B2500121,54000.000,0.000,3000.000,PCE,20280531,20260531,S,15-25C
GEP,100238,GB21,0001,A2500044,4200.000,800.000,0.000,KGM,20310215,20260215,F,15-25C
GEP,100239,GB21,0001,A2500051,1150.000,0.000,0.000,KGM,20310320,20260320,F,15-25C
GEP,100241,GB21,0003,H2500077,880.500,120.000,0.000,KGM,20270415,20260415,F,15-25C
GEP,100236,BE31,0001,V2500201,412000.000,0.000,0.000,PCE,20290228,20260228,F,2-8C
GEP,100236,BE31,0001,V2500209,388000.000,42000.000,0.000,PCE,20290331,20260331,S,2-8C
GEP,100244,BE31,0004,V2500221,18000.000,18000.000,0.000,PCE,20280731,20260731,S,-70C
GEP,100250,BE31,0001,V2500230,144000.000,0.000,0.000,PCE,20290430,20260430,F,2-8C
GEP,100242,GB22,0001,B2500330,72000.000,0.000,0.000,PCE,20280930,20260930,F,15-25C
GEP,100243,GB22,0001,B2500341,51000.000,9000.000,0.000,PCE,20281031,20261031,F,15-25C
GEP,100253,IE41,0001,B2500412,33000.000,0.000,2000.000,PCE,20281130,20261130,F,15-25C
GVP,100236,BE32,0002,SH2600118,742000.000,0.000,0.000,PCE,20290331,20260331,F,2-8C
GVP,100236,BE32,0002,SH2600119,388000.000,44000.000,0.000,PCE,20290430,20260430,F,2-8C
GVP,100250,BE32,0002,CV2600067,215000.000,0.000,12000.000,PCE,20290228,20260228,F,2-8C
GVP,700304,BE33,0001,IN2600009,1180.000,0.000,0.000,KGM,20270131,20260415,F,-70C
GVP,700305,BE32,0002,RT2600052,96000.000,0.000,0.000,PCE,20280630,20260615,F,2-8C
GVP,700306,BE32,0002,MN2600031,54000.000,0.000,0.000,PCE,20290131,20260120,F,2-8C
GVP,700307,BE33,0001,AS2600014,620.000,80.000,0.000,KGM,20270331,20260331,F,-70C
GVP,100244,BE33,0001,RS2600003,18000.000,0.000,0.000,PCE,20280131,20260131,F,-70C
